dteday,season,mnth,holiday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt
2012-01-01,1,1,0,0,1,0.37,0.6925,0.192167,686,1608,2294
2012-02-01,1,1,1,0,1,0.273043,0.381304,0.329665,244,1707,1951
2012-03-01,1,1,0,1,1,0.15,0.44125,0.365671,89,2147,2236
2012-04-01,1,1,0,1,2,0.1075,0.414583,0.1847,95,2273,2368
2012-05-01,1,1,0,1,1,0.265833,0.524167,0.129987,140,3132,3272
2012-06-01,1,1,0,1,1,0.334167,0.542083,0.167908,307,3791,4098
2012-07-01,1,1,0,0,1,0.393333,0.531667,0.174758,1070,3451,4521
2012-08-01,1,1,0,0,1,0.3375,0.465,0.191542,599,2826,3425
2012-09-01,1,1,0,1,2,0.224167,0.701667,0.0989,106,2270,2376
2012-10-01,1,1,0,1,1,0.308696,0.646522,0.187552,173,3425,3598
2012-11-01,1,1,0,1,2,0.274167,0.8475,0.131221,92,2085,2177
2012-12-01,1,1,0,1,2,0.3825,0.802917,0.180967,269,3828,4097
2012-01-13,1,1,0,1,1,0.274167,0.5075,0.378108,174,3040,3214
2012-01-14,1,1,0,0,1,0.18,0.4575,0.187183,333,2160,2493
2012-01-15,1,1,0,0,1,0.166667,0.419167,0.251258,284,2027,2311
2012-01-16,1,1,1,0,1,0.19,0.5225,0.231358,217,2081,2298
2012-01-17,1,1,0,1,2,0.373043,0.716087,0.34913,127,2808,2935
2012-01-18,1,1,0,1,1,0.303333,0.443333,0.415429,109,3267,3376
2012-01-19,1,1,0,1,1,0.19,0.4975,0.220158,130,3162,3292
2012-01-20,1,1,0,1,2,0.2175,0.45,0.20275,115,3048,3163
2012-01-21,1,1,0,0,2,0.173333,0.83125,0.222642,67,1234,1301
2012-01-22,1,1,0,0,2,0.1625,0.79625,0.199638,196,1781,1977
2012-01-23,1,1,0,1,2,0.218333,0.91125,0.110708,145,2287,2432
2012-01-24,1,1,0,1,1,0.3425,0.835833,0.123767,439,3900,4339
2012-01-25,1,1,0,1,1,0.294167,0.64375,0.161071,467,3803,4270
2012-01-26,1,1,0,1,2,0.341667,0.769583,0.0733958,244,3831,4075
2012-01-27,1,1,0,1,2,0.425,0.74125,0.342667,269,3187,3456
2012-01-28,1,1,0,0,1,0.315833,0.543333,0.210829,775,3248,4023
2012-01-29,1,1,0,0,1,0.2825,0.31125,0.24005,558,2685,3243
2012-01-30,1,1,0,1,1,0.269167,0.400833,0.215792,126,3498,3624
2012-01-31,1,1,0,1,1,0.39,0.416667,0.261817,324,4185,4509
2012-01-02,1,2,0,1,1,0.469167,0.507917,0.189067,304,4275,4579
2012-02-02,1,2,0,1,2,0.399167,0.672917,0.187187,190,3571,3761
2012-03-02,1,2,0,1,1,0.313333,0.526667,0.178496,310,3841,4151
2012-04-02,1,2,0,0,2,0.264167,0.779583,0.121896,384,2448,2832
2012-05-02,1,2,0,0,2,0.265833,0.687917,0.175996,318,2629,2947
2012-06-02,1,2,0,1,1,0.282609,0.622174,0.1538,206,3578,3784
2012-07-02,1,2,0,1,1,0.354167,0.49625,0.147379,199,4176,4375
2012-08-02,1,2,0,1,2,0.256667,0.722917,0.133721,109,2693,2802
2012-09-02,1,2,0,1,1,0.265,0.562083,0.194037,163,3667,3830
2012-10-02,1,2,0,1,2,0.280833,0.54,0.116929,227,3604,3831
2012-11-02,1,2,0,0,3,0.224167,0.73125,0.289796,192,1977,2169
2012-12-02,1,2,0,0,1,0.1275,0.464583,0.409212,73,1456,1529
2012-02-13,1,2,0,1,1,0.2225,0.41125,0.167283,94,3328,3422
2012-02-14,1,2,0,1,2,0.319167,0.50875,0.141179,135,3787,3922
2012-02-15,1,2,0,1,1,0.348333,0.53125,0.1816,141,4028,4169
2012-02-16,1,2,0,1,2,0.316667,0.752917,0.091425,74,2931,3005
2012-02-17,1,2,0,1,1,0.343333,0.634583,0.205846,349,3805,4154
2012-02-18,1,2,0,0,1,0.346667,0.534583,0.190929,1435,2883,4318
2012-02-19,1,2,0,0,2,0.28,0.515833,0.253112,618,2071,2689
2012-02-20,1,2,1,0,1,0.28,0.507826,0.229083,502,2627,3129
2012-02-21,1,2,0,1,1,0.287826,0.594348,0.205717,163,3614,3777
2012-02-22,1,2,0,1,1,0.395833,0.567917,0.234471,394,4379,4773
2012-02-23,1,2,0,1,1,0.454167,0.554583,0.190913,516,4546,5062
2012-02-24,1,2,0,1,2,0.4075,0.7375,0.237567,246,3241,3487
2012-02-25,1,2,0,0,1,0.290833,0.395833,0.421642,317,2415,2732
2012-02-26,1,2,0,0,1,0.279167,0.41,0.205229,515,2874,3389
2012-02-27,1,2,0,1,1,0.366667,0.490833,0.268033,253,4069,4322
2012-02-28,1,2,0,1,1,0.359167,0.395833,0.193417,229,4134,4363
2012-02-29,1,2,0,1,2,0.344348,0.804783,0.179117,65,1769,1834
2012-01-03,1,3,0,1,1,0.485833,0.615417,0.226987,325,4665,4990
2012-02-03,1,3,0,1,2,0.353333,0.657083,0.144904,246,2948,3194
2012-03-03,1,3,0,0,2,0.414167,0.62125,0.161079,956,3110,4066
2012-04-03,1,3,0,0,1,0.325833,0.403333,0.334571,710,2713,3423
2012-05-03,1,3,0,1,1,0.243333,0.50625,0.228858,203,3130,3333
2012-06-03,1,3,0,1,1,0.258333,0.456667,0.200875,221,3735,3956
2012-07-03,1,3,0,1,1,0.404167,0.513333,0.345779,432,4484,4916
2012-08-03,1,3,0,1,1,0.5275,0.5675,0.441563,486,4896,5382
2012-09-03,1,3,0,1,2,0.410833,0.407083,0.4148,447,4122,4569
2012-10-03,1,3,0,0,1,0.2875,0.350417,0.22575,968,3150,4118
2012-11-03,1,3,0,0,1,0.361739,0.476957,0.222587,1658,3253,4911
2012-12-03,1,3,0,1,1,0.466667,0.489167,0.207713,838,4460,5298
2012-03-13,1,3,0,1,1,0.565,0.6175,0.23695,762,5085,5847
2012-03-14,1,3,0,1,1,0.5725,0.507083,0.115062,997,5315,6312
2012-03-15,1,3,0,1,1,0.5575,0.579583,0.149883,1005,5187,6192
2012-03-16,1,3,0,1,2,0.435833,0.842083,0.113192,548,3830,4378
2012-03-17,1,3,0,0,2,0.514167,0.755833,0.110704,3155,4681,7836
2012-03-18,1,3,0,0,2,0.4725,0.81,0.126883,2207,3685,5892
2012-03-19,1,3,0,1,1,0.545,0.72875,0.162317,982,5171,6153
2012-03-20,1,3,0,1,1,0.560833,0.807917,0.121271,1051,5042,6093
2012-03-21,2,3,0,1,2,0.531667,0.82125,0.0895583,1122,5108,6230
2012-03-22,2,3,0,1,1,0.554167,0.83125,0.117562,1334,5537,6871
2012-03-23,2,3,0,1,2,0.601667,0.694167,0.1163,2469,5893,8362
2012-03-24,2,3,0,0,2,0.5025,0.885417,0.192783,1033,2339,3372
2012-03-25,2,3,0,0,2,0.4375,0.880833,0.220775,1532,3464,4996
2012-03-26,2,3,0,1,1,0.445833,0.477917,0.386821,795,4763,5558
2012-03-27,2,3,0,1,1,0.323333,0.29,0.187192,531,4571,5102
2012-03-28,2,3,0,1,1,0.484167,0.48125,0.291671,674,5024,5698
2012-03-29,2,3,0,1,1,0.494167,0.439167,0.31965,834,5299,6133
2012-03-30,2,3,0,1,2,0.37,0.580833,0.138067,796,4663,5459
2012-03-31,2,3,0,0,2,0.424167,0.738333,0.250617,2301,3934,6235
2012-01-04,2,4,0,0,2,0.425833,0.67625,0.172267,2347,3694,6041
2012-02-04,2,4,0,1,1,0.433913,0.504348,0.312139,1208,4728,5936
2012-03-04,2,4,0,1,1,0.466667,0.396667,0.100133,1348,5424,6772
2012-04-04,2,4,0,1,1,0.541667,0.469583,0.180975,1058,5378,6436
2012-05-04,2,4,0,1,1,0.435,0.374167,0.219529,1192,5265,6457
2012-06-04,2,4,0,1,1,0.403333,0.377083,0.300388,1807,4653,6460
2012-07-04,2,4,0,0,1,0.4375,0.254167,0.274871,3252,3605,6857
2012-08-04,2,4,0,0,1,0.5,0.275833,0.232596,2230,2939,5169
2012-09-04,2,4,0,1,1,0.489167,0.3175,0.358196,905,4680,5585
2012-10-04,2,4,0,1,1,0.446667,0.435,0.249375,819,5099,5918
2012-11-04,2,4,0,1,1,0.348696,0.469565,0.295274,482,4380,4862
2012-12-04,2,4,0,1,1,0.3975,0.46625,0.290429,663,4746,5409
2012-04-13,2,4,0,1,1,0.4425,0.408333,0.155471,1252,5146,6398
2012-04-14,2,4,0,0,1,0.495,0.502917,0.190917,2795,4665,7460
2012-04-15,2,4,0,0,1,0.606667,0.507917,0.225129,2846,4286,7132
2012-04-16,2,4,1,0,1,0.664167,0.561667,0.284829,1198,5172,6370
2012-04-17,2,4,0,1,1,0.608333,0.390417,0.273629,989,5702,6691
2012-04-18,2,4,0,1,2,0.463333,0.569167,0.167912,347,4020,4367
2012-04-19,2,4,0,1,1,0.498333,0.6125,0.0659292,846,5719,6565
2012-04-20,2,4,0,1,1,0.526667,0.694583,0.149871,1340,5950,7290
2012-04-21,2,4,0,0,1,0.57,0.682917,0.283587,2541,4083,6624
2012-04-22,2,4,0,0,3,0.396667,0.835417,0.344546,120,907,1027
2012-04-23,2,4,0,1,2,0.321667,0.766667,0.303496,195,3019,3214
2012-04-24,2,4,0,1,1,0.413333,0.454167,0.249383,518,5115,5633
2012-04-25,2,4,0,1,1,0.476667,0.427917,0.118792,655,5541,6196
2012-04-26,2,4,0,1,2,0.498333,0.756667,0.176625,475,4551,5026
2012-04-27,2,4,0,1,1,0.4575,0.400833,0.347633,1014,5219,6233
2012-04-28,2,4,0,0,2,0.376667,0.489583,0.129975,1120,3100,4220
2012-04-29,2,4,0,0,1,0.458333,0.587083,0.116908,2229,4075,6304
2012-04-30,2,4,0,1,2,0.464167,0.57,0.171638,665,4907,5572
2012-01-05,2,5,0,1,2,0.613333,0.659583,0.156096,653,5087,5740
2012-02-05,2,5,0,1,1,0.564167,0.797083,0.138058,667,5502,6169
2012-03-05,2,5,0,1,2,0.56,0.768333,0.133696,764,5657,6421
2012-04-05,2,5,0,1,1,0.6275,0.735417,0.162938,1069,5227,6296
2012-05-05,2,5,0,0,2,0.621667,0.756667,0.152992,2496,4387,6883
2012-06-05,2,5,0,0,2,0.5625,0.74,0.149879,2135,4224,6359
2012-07-05,2,5,0,1,2,0.5375,0.664167,0.230721,1008,5265,6273
2012-08-05,2,5,0,1,2,0.581667,0.685833,0.296029,738,4990,5728
2012-09-05,2,5,0,1,2,0.575,0.744167,0.216412,620,4097,4717
2012-10-05,2,5,0,1,1,0.505833,0.552083,0.314063,1026,5546,6572
2012-11-05,2,5,0,1,1,0.533333,0.360417,0.236937,1319,5711,7030
2012-12-05,2,5,0,0,1,0.564167,0.480417,0.123133,2622,4807,7429
2012-05-13,2,5,0,0,1,0.6125,0.57625,0.225117,2172,3946,6118
2012-05-14,2,5,0,1,2,0.573333,0.789583,0.212692,342,2501,2843
2012-05-15,2,5,0,1,2,0.611667,0.794583,0.147392,625,4490,5115
2012-05-16,2,5,0,1,1,0.636667,0.697917,0.122512,991,6433,7424
2012-05-17,2,5,0,1,1,0.593333,0.52,0.229475,1242,6142,7384
2012-05-18,2,5,0,1,1,0.564167,0.523333,0.136817,1521,6118,7639
2012-05-19,2,5,0,0,1,0.6,0.45625,0.083975,3410,4884,8294
2012-05-20,2,5,0,0,1,0.620833,0.530417,0.254367,2704,4425,7129
2012-05-21,2,5,0,1,2,0.598333,0.81125,0.233204,630,3729,4359
2012-05-22,2,5,0,1,2,0.615,0.765833,0.118167,819,5254,6073
2012-05-23,2,5,0,1,2,0.621667,0.774583,0.102,766,4494,5260
2012-05-24,2,5,0,1,1,0.655,0.716667,0.172896,1059,5711,6770
2012-05-25,2,5,0,1,1,0.68,0.747083,0.14055,1417,5317,6734
2012-05-26,2,5,0,0,1,0.6925,0.7325,0.198992,2855,3681,6536
2012-05-27,2,5,0,0,1,0.69,0.697083,0.215171,3283,3308,6591
2012-05-28,2,5,1,0,1,0.7125,0.67625,0.196521,2557,3486,6043
2012-05-29,2,5,0,1,1,0.7225,0.684583,0.2954,880,4863,5743
2012-05-30,2,5,0,1,2,0.656667,0.67,0.134329,745,6110,6855
2012-05-31,2,5,0,1,1,0.68,0.492917,0.195279,1100,6238,7338
2012-01-06,2,6,0,1,2,0.654167,0.755417,0.237563,533,3594,4127
2012-02-06,2,6,0,0,1,0.583333,0.549167,0.186562,2795,5325,8120
2012-03-06,2,6,0,0,1,0.6025,0.493333,0.184087,2494,5147,7641
2012-04-06,2,6,0,1,1,0.5975,0.487083,0.284833,1071,5927,6998
2012-05-06,2,6,0,1,2,0.540833,0.613333,0.209575,968,6033,7001
2012-06-06,2,6,0,1,1,0.554167,0.61125,0.077125,1027,6028,7055
2012-07-06,2,6,0,1,1,0.6025,0.567083,0.15735,1038,6456,7494
2012-08-06,2,6,0,1,1,0.649167,0.467917,0.175383,1488,6248,7736
2012-09-06,2,6,0,0,1,0.710833,0.437083,0.144287,2708,4790,7498
2012-10-06,2,6,0,0,1,0.726667,0.538333,0.133721,2224,4374,6598
2012-11-06,2,6,0,1,2,0.720833,0.587917,0.207713,1017,5647,6664
2012-12-06,2,6,0,1,2,0.653333,0.833333,0.214546,477,4495,4972
2012-06-13,2,6,0,1,1,0.655833,0.582083,0.343279,1173,6248,7421
2012-06-14,2,6,0,1,1,0.648333,0.569583,0.253733,1180,6183,7363
2012-06-15,2,6,0,1,1,0.639167,0.589583,0.176617,1563,6102,7665
2012-06-16,2,6,0,0,1,0.631667,0.504167,0.166667,2963,4739,7702
2012-06-17,2,6,0,0,1,0.5925,0.59875,0.144904,2634,4344,6978
2012-06-18,2,6,0,1,2,0.568333,0.777917,0.174746,653,4446,5099
2012-06-19,2,6,0,1,1,0.688333,0.69,0.148017,968,5857,6825
2012-06-20,2,6,0,1,1,0.7825,0.592083,0.113812,872,5339,6211
2012-06-21,3,6,0,1,1,0.805833,0.567917,0.118787,778,5127,5905
2012-06-22,3,6,0,1,1,0.7775,0.57375,0.182842,964,4859,5823
2012-06-23,3,6,0,0,1,0.731667,0.534583,0.179721,2657,4801,7458
2012-06-24,3,6,0,0,1,0.743333,0.479167,0.145525,2551,4340,6891
2012-06-25,3,6,0,1,1,0.715833,0.504167,0.300383,1139,5640,6779
2012-06-26,3,6,0,1,1,0.630833,0.373333,0.347642,1077,6365,7442
2012-06-27,3,6,0,1,1,0.6975,0.36,0.271775,1077,6258,7335
2012-06-28,3,6,0,1,1,0.749167,0.4225,0.17165,921,5958,6879
2012-06-29,3,6,0,1,1,0.834167,0.48875,0.165417,829,4634,5463
2012-06-30,3,6,0,0,1,0.765,0.60125,0.161071,1455,4232,5687
2012-01-07,3,7,0,0,1,0.815833,0.51875,0.168529,1421,4110,5531
